Context,Community,Implemented,Example,N_Example,total,Prop_Example,id
CC,N,N,Research,4,14,0.2857142857142857,1
CC,N,N,Coordination and organization,2,14,0.14285714285714285,2
CC,N,N,Dynamic ocean management,1,14,0.07142857142857142,3
CC,N,N,Enforcement,1,14,0.07142857142857142,4
CC,N,N,Fair trade laws,1,14,0.07142857142857142,5
CC,N,N,International agreements,1,14,0.07142857142857142,6
CC,N,N,MPAs,1,14,0.07142857142857142,7
CC,N,N,Reductions in other stressors,1,14,0.07142857142857142,8
CC,N,N,Restoration,1,14,0.07142857142857142,9
CC,N,N,Review programs / regulations,1,14,0.07142857142857142,10
CC,Y,N,Diversify livelihoods,1,3,0.3333333333333333,1
CC,Y,N,Investment in new gear or innovations,1,3,0.3333333333333333,2
CC,Y,N,Research,1,3,0.3333333333333333,3
N,N,N,Research,1,1,1,1
